address,latitude,longitude
4700 TIREMAN AVE DETROIT 48204,42.35384,-83.117301
1345 WOODWARD DETROIT MI,42.33368,-83.048619
22505 ALLEN RD WOODHAVEN 48183,42.144533,-83.225731
21001 MOROSS RD DETROIT 48236,42.424308,-82.926073
2424 W GRAND BLVD DETROIT 48208,42.361475,-83.095882
914 CHURCH ST DETROIT MI,42.331185,-83.066608
9540 CONANT HAMTRAMCK 48212,42.398415,-83.049565
3000 GRATIOT AVE DETROIT 48207,42.356112,-83.029306
6501 OUTER DR W DETROIT 48235,42.419192,-83.190874
3370 E JEFFERSON AVE DETROIT 48207,42.341668,-83.012955
27725 GREENFIELD RD SOUTHFIELD 48076,42.495057,-83.204144
270 S MORRELL ST DETROIT 48209,42.305299,-83.091737
19601 CRUSADE ST DETROIT 48205,42.440821,-82.961794
12789 INDIANA ST DETROIT 48238,42.381885,-83.157023
4901 EVERGREEN RD DEARBORN 48128,42.312703,-83.227214
803 HAZELWOOD ST DETROIT 48202,42.378766,-83.086736
1002 MILITARY AVE DETROIT 48209,42.309884,-83.102183
15320 E 9 MILE RD EASTPOINTE 48201,42.46454,-82.963762
19625 ELMIRA ST DETROIT 48228,42.368967,-83.234345
2535 MICHIGAN AVE DETROIT 48216,42.331114,-83.080911
759 INKSTER RD INKSTER 48141,42.306064,-83.30938
2470 COLLINGWOOD DETROIT MI,42.382199,-83.110915
8902 VINTON ST DETROIT 48213,42.395306,-83.008874
13110 14TH ST DETROIT 48238,42.393441,-83.114326
46000 SUMMIT PKWY CANTON 48188,42.295899,-83.492793
3000 BURNS AVE DETROIT 48214,42.3667,-82.998094
1445 E LAFAYETTE STREET DETROIT 48207,42.338467,-83.033673
2425 TUXEDO STREET DETROIT 48206,42.383816,-83.11198
21375 REDMOND AVE EASTPOINTE 48021,42.455031,-82.956992
2915 W HANDCOCK DETROIT 48202,42.345495,-83.094928
6442 PELHAM RD TAYLOR 48180,42.261969,-83.23166
7635 CHATHAM DETROIT 48239,42.347334,-83.260907
985 E JEFFERSON AVE DETROIT 48207,42.333581,-83.035162
3601 WEST 13 MILE RD ROYAL OAK 48073,42.514312,-83.192604
14460 WADE ST DETROIT 48213,42.408111,-82.965172
7737 KERCHEVAL AVE DETROIT 48214,42.358224,-83.002688
312 W HURON ST ANN ARBOR 48103,42.281657,-83.751086
12900 W CHICAGO DETROIT 48228,42.366168,-83.170956
605 GARLAND ST FLINT 48503,43.02071,-83.696793
27543 JOY RD WESTLAND 48185,42.354994,-83.314482
26091 TROWBRIDGE ST INKSTER 48141,42.293901,-83.298118
2081 W GRAND BLVD DETROIT 48208,42.357862,-83.107554
ANN ARBOR 48104,42.270903,-83.727826
19125 GREENVIEW AVE DETROIT 48219,42.430556,-83.225599
2600 GARLAND STREET DETROIT 48214,42.369674,-82.982845
5312 NEWPORT ST DETROIT 48213,42.397981,-82.962824
6451 SCHAEFER RD DEARBORN 48126,42.33765,-83.176721
15915 SOUTHFIELD RD ALLEN PARK 48101,42.259338,-83.211227
22735 FENKELL AVE DETROIT 48223,42.399977,-83.266273
13200 FENELON DETROIT 48212,42.413502,-83.052055
12047 MIAMI ST DETROIT 48217,42.271679,-83.15163
1400 OAKMAN BLVD DETROIT 48238,42.399732,-83.123825
15850 STRATHMOOR ST DETROIT 48227,42.408315,-83.187331
290 W NINE MILE RD FERNDALE 48220,42.46081,-83.138123
1829 PILGRIM ST DETROIT 48238,42.407718,-83.117558
32777 FIVE MILE RD LIVONIA 48154,42.396288,-83.368067
18440 HOOVER STREET DETROIT 48205,42.429552,-83.003429
1600 N HURON RIVER DR YPSILANTI 48197,42.257757,-83.640098
14450 BURT ROAD DETROIT 48223,42.392297,-83.246133
7 MILE & GRATIOT DETROIT 48205,42.435083,-82.977693
17801 GREELEY DETROIT 48203,42.423787,-83.087709
9451 S MAIN ST PLYMOUTH 48170,42.357957,-83.470417
7117 W. 7 MILE RD DETROIT 48221,42.431286,-83.144216
9555 HAGGERTY RD BELLEVILLE 48111,42.23251,-83.438925
7608 GRATIOT AVE DETROIT 48213,42.376026,-83.016172
